subject,predicate,object,event,time
spotter,serious injury,accident,spotter seriously injured but survived,T4
agusta a-109e helicopter,substantial damage,impact forces,helicopter substantially damaged by impact,T4
post-accident investigation,inspection status,federal aviation administration,,T5
post-accident investigation,inspection status,agusta a-109e helicopter,,T5
post-accident investigation,inspection status,pilot,,T5
post-accident investigation,inspection status,investigation department,,T5
federal aviation administration,oversight,airworthiness,faa has authority to oversee certificated aircraft,T5
agusta a-109e helicopter,certification,airworthiness,helicopter properly certificated and maintained,T5
pilot,medication use,fluoxetine,pilot took fluoxetine for depression for 7 years,T5
agusta a-109e helicopter,seat restraint examination,investigation department,no evidence of preimpact inadequacies,T5
agusta a-109e helicopter,radar tracking,erratic flight,helicopter flew erratically and climbed to 12500 feet,T5
agusta a-109e helicopter,tail rotor damage,terrain collision,tail rotor skid tube bent and blades missing,T5
accident outcome analysis,inspection status,investigation department,,T6
accident outcome analysis,inspection status,pilot,,T6
accident outcome analysis,inspection status,new mexico state police,,T6
accident outcome analysis,inspection status,national transportation safety board,,T6
pilot,geographic disorientation,terrain collision,lack of awareness of position in dark imc conditions,T6
pilot,spatial disorientation,terrain collision,multiple risk factors for spatial disorientation present,T6
pilot,poor decision making,takeoff,chose to takeoff in adverse weather conditions,T6
pilot,fatigue,decision making,fatigue distracted from evaluating alternatives,T6
pilot,self-induced pressure,mission completion,pressure to complete mission affected decisions,T6
pilot,situational stress,decision making,stress distracted from identifying alternatives,T6
new mexico state police,management culture,mission execution,emphasized accepting all missions over safety,T6
new mexico state police,safety deficiencies,aviation section,lacked risk assessment and fatigue management,T6
new mexico state police,communication deficiencies,sar missions,inadequate procedures for airborne-ground communication,T6
pilot,instrument rating,helicopter operations,lacked helicopter instrument rating,T6
agusta a-109e helicopter,emergency locator,406-mhz elt,elt signals focused searchers on accident site,T6
accident root cause,pilot decision,takeoff,pilot decided to takeoff in dark windy imc conditions,T6
organizational culture,mission priority,aviation safety,prioritized mission execution over safety,T6
recommendations,inspection status,national transportation safety board,,T7
recommendations,inspection status,governor of new mexico,,T7
recommendations,inspection status,airborne law enforcement association,,T7
recommendations,inspection status,national association of state aviation officials,,T7
recommendations,inspection status,international association of chiefs of police,,T7
national transportation safety board,safety recommendation,governor of new mexico,require nmsp to conform to industry standards,T7
national transportation safety board,safety recommendation,governor of new mexico,develop comprehensive fatigue management program,T7
national transportation safety board,safety recommendation,governor of new mexico,revise sar policies for direct communication,T7
national transportation safety board,safety recommendation,airborne law enforcement association,require imc training for pilots,T7
national transportation safety board,safety recommendation,airborne law enforcement association,encourage 406-mhz elt installation,T7
national transportation safety board,safety recommendation,airborne law enforcement association,encourage flight-tracking equipment,T7
national transportation safety board,safety recommendation,national association of state aviation officials,encourage policy review and risk assessment,T7
national transportation safety board,safety recommendation,international association of chiefs of police,encourage policy review and risk assessment,T7
national transportation safety board,probable cause,accident,pilot decision to takeoff in adverse conditions,T7
national transportation safety board,contributing factors,organizational culture,culture prioritized mission over safety,T7
national transportation safety board,contributing factors,pilot factors,fatigue pressure and stress contributed,T7
national transportation safety board,contributing factors,safety policies,deficiencies in safety-related policies,T7
national transportation safety board,contributing factors,communication procedures,inadequate sar communication procedures,T7
national transportation safety board,recommendation adoption,safety improvements,adopted recommendations on may 24 2011,T7
safety recommendations,focus areas,aviation safety,focus on fatigue management communication and equipment,T7
